zipCode,medianHouseholdIncome,latitude,longitude
49202,42632,42.267206,-84.41085
49203,56201,42.220698,-84.401859
49220,72500,41.998622,-84.337415
49221,65977,41.902354,-84.064698
49224,53144,42.279617,-84.746876
49227,53587,41.949816,-84.77305
49228,82703,41.809023,-83.875598
49229,94950,41.992102,-83.826493
49230,83458,42.090395,-84.2173
49232,56324,41.740366,-84.664597
49233,81250,42.061765,-84.367016
49234,110313,42.127037,-84.368713
49235,64219,41.863913,-84.20092
49236,79783,42.076033,-83.942349
49237,66956,42.173248,-84.648128
49238,75054,41.90223,-83.785596
49240,99681,42.271975,-84.179743
49241,81742,42.107843,-84.603335
49242,61029,41.886298,-84.622698
49245,62206,42.139366,-84.811584
49246,81908,42.122922,-84.503513
49247,59787,41.837616,-84.338261
49248,81250,41.756481,-84.011322
49249,82407,42.029334,-84.454755
49250,65744,42.021736,-84.626224
49251,85253,42.463459,-84.413194
49252,55762,42.035237,-84.765398
49253,89069,41.961543,-84.269284
49254,63750,42.225629,-84.323633
49255,51346,41.768259,-84.862872
49256,62880,41.746804,-84.214469
49259,66500,42.38293,-84.255748
49261,91875,42.162684,-84.247
49262,54423,41.963612,-84.46829
49264,92188,42.446232,-84.555061
49265,77931,42.006721,-84.175289
49266,66173,41.83975,-84.546789
49267,97961,41.757323,-83.719429
49268,80833,41.868704,-83.929015
49269,86699,42.288195,-84.580066
49270,94840,41.873675,-83.680783
49271,56389,41.831987,-84.453091
49272,84107,42.394756,-84.351271
49274,58087,41.846682,-84.759784
49276,73750,41.794583,-83.776666
49277,91912,42.388652,-84.469336
49279,71364,41.779648,-84.104066
49282,34911,42.03305,-84.400783
49283,108464,42.20139,-84.556087
49284,57500,42.382301,-84.690714
49285,73375,42.463242,-84.210049
49286,72429,42.009371,-83.930277
49287,88068,42.02303,-84.073485
49288,66833,41.733942,-84.429587
49301,183125,42.973443,-85.476998
49302,134722,42.821539,-85.402238
49303,78917,43.271549,-85.860632
49304,45991,43.907821,-85.872637
49305,51875,43.752024,-85.151106
49306,115039,43.074829,-85.565582
49307,60358,43.697682,-85.482957
49309,42566,43.759789,-85.876901
49310,64420,43.513812,-85.04746
49312,40694,43.686004,-85.783517
49315,113346,42.80363,-85.741985
49316,103238,42.793767,-85.550467
49318,81591,43.227276,-85.820431
49319,78951,43.230087,-85.528037
49320,63929,43.755143,-85.287539
49321,77870,43.073608,-85.681875
49322,73750,43.355784,-85.351225
49323,98745,42.728548,-85.790642
49325,90472,42.760797,-85.301726
49326,84000,43.253633,-85.317352
49327,69697,43.323527,-85.845311
49328,94340,42.63368,-85.758168
49329,74235,43.4067,-85.494998
49330,75794,43.241536,-85.736679
49331,91800,42.950189,-85.351989
49332,59509,43.620936,-85.241642
49333,89214,42.695042,-85.463674
49335,116466,42.746252,-85.66907
49336,54522,43.508359,-85.435658
49337,67526,43.423029,-85.718784
49338,69375,43.771679,-85.602298
49339,86611,43.331355,-85.496459
49340,54417,43.61793,-85.110768
49341,113989,43.124135,-85.490928
49342,53971,43.690435,-85.315591
49343,80408,43.299716,-85.526074
49344,84661,42.589905,-85.591301
49345,85463,43.153922,-85.70523
49346,72975,43.594885,-85.421128
49347,91477,43.312299,-85.345236
49348,82512,42.685079,-85.610075
49349,54028,43.575337,-85.748732
49401,74880,42.977594,-85.958569
49402,51324,43.94098,-86.018022
49403,85000,43.140975,-85.857766
49404,86096,43.063438,-85.952185
49405,70139,43.907283,-86.189734
49406,102500,42.64076,-86.210618
49408,73452,42.571678,-86.116236
49410,61515,44.027217,-86.148636
49411,61857,44.114566,-86.256829
49412,66741,43.470153,-85.946264
49415,81908,43.150964,-86.114307
49417,83405,43.009233,-86.152022
49418,84846,42.878123,-85.767925
49419,98324,42.676963,-85.979912
49420,58841,43.719985,-86.282313
